     index             RF [MHz]            Time [ns]         Intensity []         Intensity []
       274     6.33724340175953                  120              3437455               702210
       275     6.35679374389051                  120              3447485               702883
       276      6.3763440860215                  120              3455525               689747
       277     6.39589442815249                  120              3460682               712424
       278     6.41544477028348                  120              3455951               695202
       279     6.43499511241446                  120              3459981               691644
       280     6.45454545454545                  120              3457840               696844
       281     6.47409579667644                  120              3476229               706704
       282     6.49364613880742                  120              3457323               699218
       283     6.51319648093841                  120              3455157               693044
       284      6.5327468230694                  120              3434425               685030
       285     6.55229716520039                  120              3450840               693813
       286     6.57184750733137                  120              3442879               697180
       287     6.59139784946236                  120              3465738               700633
       288     6.61094819159335                  120              3440518               704573
       289     6.63049853372434                  120              3444997               698493
       290     6.65004887585532                  120              3443381               700788
       291     6.66959921798631                  120              3432276               697656
       292      6.6891495601173                  120              3446962               701841
       293     6.70869990224828                  120              3447464               692866
       294     6.72825024437927                  120              3439333               715241
       295     6.74780058651026                  120              3438926               704921
       296     6.76735092864125                  120              3431809               692392
       297     6.78690127077223                  120              3423115               707942
       298     6.80645161290322                  120              3409075               691121
       299     6.82600195503421                  120              3406197               680988
       300      6.8455522971652                  120              3401112               677610
       301     6.86510263929618                  120              3398817               697809
       302     6.88465298142717                  120              3364963               683434
       303     6.90420332355816                  120              3360745               676117
       304     6.92375366568914                  120              3342829               663185
       305     6.94330400782013                  120              3323221               679605
       306     6.96285434995112                  120              3290563               661250
       307     6.98240469208211                  120              3256753               655261
       308     7.00195503421309                  120              3261691               650361
       309     7.02150537634408                  120              3255496               662917
       310     7.04105571847507                  120              3248617               657538
       311     7.06060606060606                  120              3292483               659957
       312     7.08015640273704                  120              3305052               664172
       313     7.09970674486803                  120              3349238               685097
       314     7.11925708699902                  120              3367244               685125
       315        7.13880742913                  120              3389658               685063
       316     7.15835777126099                  120              3381985               687475
       317     7.17790811339198                  120              3387733               690479
       318     7.19745845552297                  120              3371349               690777
       319     7.21700879765395                  120              3371262               692695
       320     7.23655913978494                  120              3376630               690800
