     index             RF [MHz]            Time [ns]         Intensity []         Intensity []
       277     6.39589442815249                  120             21676273             -2229543
       278     6.41544477028348                  120             21661441             -2220710
       279     6.43499511241446                  120             21646912             -2249760
       280     6.45454545454545                  120             21666005             -2202150
       281     6.47409579667644                  120             21673774             -2213167
       282     6.49364613880742                  120             21670811             -2245980
       283     6.51319648093841                  120             21654359             -2217657
       284      6.5327468230694                  120             21670206             -2253713
       285     6.55229716520039                  120             21656923             -2236098
       286     6.57184750733137                  120             21654700             -2230521
       287     6.59139784946236                  120             21661821             -2220890
       288     6.61094819159335                  120             21672302             -2190109
       289     6.63049853372434                  120             21660809             -2250060
       290     6.65004887585532                  120             21630205             -2248930
       291     6.66959921798631                  120             21671802             -2224567
       292      6.6891495601173                  120             21691787             -2223081
       293     6.70869990224828                  120             21670823             -2224144
       294     6.72825024437927                  120             21662859             -2234993
       295     6.74780058651026                  120             21663132             -2207631
       296     6.76735092864125                  120             21708800             -2202999
       297     6.78690127077223                  120             21670668             -2193123
       298     6.80645161290322                  120             21672782             -2229557
       299     6.82600195503421                  120             21679509             -2263730
       300      6.8455522971652                  120             21648569             -2197947
       301     6.86510263929618                  120             21639757             -2224023
       302     6.88465298142717                  120             21625809             -2226221
       303     6.90420332355816                  120             21587444             -2208326
       304     6.92375366568914                  120             21565786             -2189810
       305     6.94330400782013                  120             21568968             -2219619
       306     6.96285434995112                  120             21507287             -2201324
       307     6.98240469208211                  120             21484177             -2185611
       308     7.00195503421309                  120             21403995             -2232781
       309     7.02150537634408                  120             21377487             -2200844
       310     7.04105571847507                  120             21343436             -2201954
       311     7.06060606060606                  120             21399884             -2173821
       312     7.08015640273704                  120             21418362             -2182815
       313     7.09970674486803                  120             21494964             -2196810
       314     7.11925708699902                  120             21534209             -2193202
       315        7.13880742913                  120             21592162             -2236474
       316     7.15835777126099                  120             21609209             -2185507
       317     7.17790811339198                  120             21580083             -2229246
       318     7.19745845552297                  120             21604316             -2248522
       319     7.21700879765395                  120             21576766             -2217878
       320     7.23655913978494                  120             21605991             -2230998
       321     7.25610948191593                  120             21594129             -2186328
       322     7.27565982404692                  120             21580668             -2245395
       323      7.2952101661779                  120             21585349             -2211264
       324     7.31476050830889                  120             21643406             -2223320
       325     7.33431085043988                  120             21640304             -2258503
       326     7.35386119257086                  120             21627839             -2183385
       327     7.37341153470185                  120             21647332             -2225014
       328     7.39296187683284                  120             21638494             -2218770
       329     7.41251221896383                  120             21661898             -2221741
       330     7.43206256109481                  120             21646163             -2240058
       331      7.4516129032258                  120             21654684             -2183786
       332     7.47116324535679                  120             21641063             -2258878
       333     7.49071358748778                  120             21659286             -2224212
       334     7.51026392961876                  120             21666227             -2259411
       335     7.52981427174975                  120             21669328             -2221153
       336     7.54936461388074                  120             21652819             -2216386
       337     7.56891495601172                  120             21673434             -2218550
       338     7.58846529814271                  120             21666516             -2202237
       339      7.6080156402737                  120             21629590             -2231323
       340     7.62756598240469                  120             21634960             -2221338
       341     7.64711632453567                  120             21647833             -2238910
       342     7.66666666666666                  120             21636733             -2214170
       343     7.68621700879765                  120             21646068             -2213565
       344     7.70576735092864                  120             21647321             -2196581
       345     7.72531769305962                  120             21633864             -2212176
       346     7.74486803519061                  120             21639237             -2233278
       347      7.7644183773216                  120             21628206             -2200711
       348     7.78396871945258                  120             21622062             -2213895
       349     7.80351906158357                  120             21605288             -2236192
       350     7.82306940371456                  120             21648364             -2212644
       351     7.84261974584555                  120             21590351             -2223433
       352     7.86217008797653                  120             21601242             -2222091
       353     7.88172043010752                  120             21598555             -2220017
       354     7.90127077223851                  120             21630256             -2207363
       355      7.9208211143695                  120             21640960             -2243797
       356     7.94037145650048                  120             21646667             -2207135
       357     7.95992179863147                  120             21629071             -2205430
       358     7.97947214076246                  120             21624427             -2247330
       359     7.99902248289344                  120             21646367             -2218283
       360     8.01857282502443                  120             21631480             -2238268
       361     8.03812316715542                  120             21644173             -2225301
       362     8.05767350928641                  120             21655874             -2210740
       363     8.07722385141739                  120             21651291             -2222042
       364     8.09677419354838                  120             21672451             -2205898
       365     8.11632453567937                  120             21653550             -2226906
       366     8.13587487781036                  120             21648867             -2232187
       367     8.15542521994134                  120             21662515             -2220658
       368     8.17497556207233                  120             21643173             -2262553
       369     8.19452590420332                  120             21636485             -2232980
       370      8.2140762463343                  120             21653397             -2234856
       371     8.23362658846529                  120             21663326             -2229797
       372     8.25317693059628                  120             21642219             -2216135
       373     8.27272727272727                  120             21684451             -2216631
       374     8.29227761485825                  120             21648849             -2197295
       375     8.31182795698924                  120             21630004             -2217854
       376     8.33137829912023                  120             21643937             -2213609
       377     8.35092864125122                  120             21642919             -2210815
       378      8.3704789833822                  120             21586406             -2212404
       379     8.39002932551319                  120             21590847             -2215539
       380     8.40957966764418                  120             21591899             -2224880
       381     8.42913000977516                  120             21540403             -2203448
       382     8.44868035190615                  120             21574646             -2207702
       383     8.46823069403714                  120             21577881             -2209288
       384     8.48778103616813                  120             21584397             -2209933
       385     8.50733137829911                  120             21584275             -2221009
       386      8.5268817204301                  120             21563505             -2186670
       387     8.54643206256109                  120             21548097             -2210466
       388     8.56598240469208                  120             21537539             -2203238
       389     8.58553274682306                  120             21424759             -2216731
       390     8.60508308895405                  120             21409459             -2216735
       391     8.62463343108504                  120             21347426             -2208207
       392     8.64418377321602                  120             21307126             -2202209
       393     8.66373411534701                  120             21303377             -2184488
       394       8.683284457478                  120             21343568             -2223924
       395     8.70283479960899                  120             21362381             -2192142
       396     8.72238514173997                  120             21439702             -2217248
       397     8.74193548387096                  120             21484036             -2216599
       398     8.76148582600195                  120             21544725             -2224061
       399     8.78103616813294                  120             21543705             -2231129
       400     8.80058651026392                  120             21611006             -2214038
       401     8.82013685239491                  120             21617788             -2246111
       402      8.8396871945259                  120             21664726             -2183854
       403     8.85923753665688                  120             21644823             -2229422
       404     8.87878787878787                  120             21667508             -2221590
       405     8.89833822091886                  120             21671593             -2216390
       406     8.91788856304985                  120             21669342             -2230331
       407     8.93743890518083                  120             21659913             -2202481
       408     8.95698924731182                  120             21704398             -2218995
       409     8.97653958944281                  120             21683358             -2209790
       410      8.9960899315738                  120             21688648             -2225446
       411     9.01564027370478                  120             21682829             -2209868
       412     9.03519061583577                  120             21676943             -2224895
       413     9.05474095796676                  120             21683319             -2249962
       414     9.07429130009774                  120             21715811             -2193650
       415     9.09384164222873                  120             21671601             -2202755
       416     9.11339198435972                  120             21670224             -2222506
       417     9.13294232649071                  120             21695462             -2225570
       418     9.15249266862169                  120             21670382             -2236269
       419     9.17204301075268                  120             21694744             -2193230
       420     9.19159335288367                  120             21684160             -2246617
       421     9.21114369501466                  120             21696717             -2222170
       422     9.23069403714564                  120             21701735             -2238844
       423     9.25024437927663                  120             21680171             -2251770
       424     9.26979472140762                  120             21699572             -2218085
       425      9.2893450635386                  120             21699150             -2240322
       426     9.30889540566959                  120             21681117             -2210008
       427     9.32844574780058                  120             21694238             -2234544
